transactionId,step,type,amount,origin,oldBalanceOrigin,newBalanceOrigin,destination,oldBalanceDestination,newBalanceDestination,isFraud,isFlaggedFraud,fraudLabel,riskText
tx-1-C1231006815-M1979787155,1,PAYMENT,9839.64,C1231006815,170136.00,160296.36,M1979787155,0.00,0.00,false,false,Legitimate,Legitimate PAYMENT transaction for 9839.64 from C1231006815 to M1979787155.
tx-1-C1666544295-M2044282225,1,PAYMENT,1864.28,C1666544295,21249.00,19384.72,M2044282225,0.00,0.00,false,false,Legitimate,Legitimate PAYMENT transaction for 1864.28 from C1666544295 to M2044282225.
tx-1-C1305486145-C553264065,1,TRANSFER,181.00,C1305486145,181.00,0.00,C553264065,0.00,0.00,true,false,Fraud,Fraudulent TRANSFER transaction for 181.00 from C1305486145 to C553264065. origin balance zeroed
tx-1-C840083671-C38997010,1,CASH_OUT,181.00,C840083671,181.00,0.00,C38997010,21182.00,0.00,true,false,Fraud,Fraudulent CASH_OUT transaction for 181.00 from C840083671 to C38997010. origin balance zeroed
tx-1-C2048537720-M1230701703,1,PAYMENT,11668.14,C2048537720,41554.00,29885.86,M1230701703,0.00,0.00,false,false,Legitimate,Legitimate PAYMENT transaction for 11668.14 from C2048537720 to M1230701703.
tx-1-C90045638-M573487274,1,PAYMENT,7817.71,C90045638,53860.00,46042.29,M573487274,0.00,0.00,false,false,Legitimate,Legitimate PAYMENT transaction for 7817.71 from C90045638 to M573487274.
tx-1-C154988899-M408069119,1,PAYMENT,7107.77,C154988899,183195.00,176087.23,M408069119,0.00,0.00,false,false,Legitimate,Legitimate PAYMENT transaction for 7107.77 from C154988899 to M408069119.
tx-1-C1912850431-M633326333,1,PAYMENT,7861.64,C1912850431,176087.23,168225.59,M633326333,0.00,0.00,false,false,Legitimate,Legitimate PAYMENT transaction for 7861.64 from C1912850431 to M633326333.
tx-1-C1265012928-M1176932104,1,PAYMENT,4024.36,C1265012928,2671.00,0.00,M1176932104,0.00,0.00,false,false,Legitimate,Legitimate PAYMENT transaction for 4024.36 from C1265012928 to M1176932104. origin balance zeroed
tx-1-C712410124-C195600860,1,DEBIT,5337.77,C712410124,41720.00,36382.23,C195600860,41898.00,40348.79,false,false,Legitimate,Legitimate DEBIT transaction for 5337.77 from C712410124 to C195600860.
