emailId,indicator
email-1,ContainsLink
email-2,ContainsLink
email-2,HasAttachment
email-3,HasAttachment
email-4,HasAttachment
email-6,PhishingEmailLabel
email-6,ContainsLink
email-6,UrgentLanguage
email-7,HasAttachment
email-9,PhishingEmailLabel
email-9,ContainsLink
email-9,HasAttachment
email-9,UrgentLanguage
email-10,HasAttachment
email-11,PhishingEmailLabel
email-11,ContainsLink
email-11,HasAttachment
email-11,UrgentLanguage
email-12,PhishingEmailLabel
email-12,ContainsLink
email-12,HasAttachment
email-12,UrgentLanguage
email-13,ContainsLink
email-15,PhishingEmailLabel
email-15,ContainsLink
email-15,HasAttachment
email-15,UrgentLanguage
email-16,PhishingEmailLabel
email-16,ContainsLink
email-16,HasAttachment
email-16,UrgentLanguage
email-18,ContainsLink
email-18,HasAttachment
email-20,PhishingEmailLabel
email-20,ContainsLink
email-20,HasAttachment
email-20,UrgentLanguage
email-22,PhishingEmailLabel
email-22,ContainsLink
email-22,HasAttachment
email-22,UrgentLanguage
email-23,PhishingEmailLabel
email-23,ContainsLink
email-23,HasAttachment
email-23,UrgentLanguage
email-24,PhishingEmailLabel
email-24,ContainsLink
email-24,UrgentLanguage
email-25,PhishingEmailLabel
email-25,ContainsLink
email-25,UrgentLanguage
email-26,HasAttachment
email-27,PhishingEmailLabel
email-27,ContainsLink
email-27,HasAttachment
email-27,UrgentLanguage
email-28,PhishingEmailLabel
email-28,ContainsLink
email-28,UrgentLanguage
email-29,PhishingEmailLabel
email-29,ContainsLink
email-29,UrgentLanguage
email-31,PhishingEmailLabel
email-31,ContainsLink
email-31,HasAttachment
email-31,UrgentLanguage
email-32,PhishingEmailLabel
email-32,ContainsLink
email-32,HasAttachment
email-32,UrgentLanguage
email-34,PhishingEmailLabel
email-34,ContainsLink
email-34,HasAttachment
email-34,UrgentLanguage
email-35,ContainsLink
email-36,HasAttachment
email-37,HasAttachment
email-38,PhishingEmailLabel
email-38,ContainsLink
email-38,HasAttachment
email-38,UrgentLanguage
email-40,HasAttachment
email-41,PhishingEmailLabel
email-41,ContainsLink
email-41,UrgentLanguage
email-42,PhishingEmailLabel
email-42,ContainsLink
email-42,UrgentLanguage
email-43,PhishingEmailLabel
email-43,ContainsLink
email-43,HasAttachment
email-43,UrgentLanguage
email-46,PhishingEmailLabel
email-46,ContainsLink
email-46,HasAttachment
email-46,UrgentLanguage
email-47,PhishingEmailLabel
email-47,ContainsLink
email-47,UrgentLanguage
email-48,ContainsLink
email-48,HasAttachment
email-49,PhishingEmailLabel
email-49,ContainsLink
email-49,HasAttachment
email-49,UrgentLanguage
email-51,ContainsLink
email-51,HasAttachment
email-52,ContainsLink
email-53,PhishingEmailLabel
email-53,ContainsLink
email-53,UrgentLanguage
email-54,PhishingEmailLabel
email-54,ContainsLink
email-54,UrgentLanguage
email-55,HasAttachment
email-56,ContainsLink
email-57,HasAttachment
email-58,PhishingEmailLabel
email-58,ContainsLink
email-58,HasAttachment
email-58,UrgentLanguage
email-60,ContainsLink
email-61,ContainsLink
email-62,PhishingEmailLabel
email-62,ContainsLink
email-62,HasAttachment
email-62,UrgentLanguage
email-63,PhishingEmailLabel
email-63,ContainsLink
email-63,HasAttachment
email-63,UrgentLanguage
email-64,PhishingEmailLabel
email-64,ContainsLink
email-64,HasAttachment
email-64,UrgentLanguage
email-65,PhishingEmailLabel
email-65,ContainsLink
email-65,UrgentLanguage
email-66,PhishingEmailLabel
email-66,ContainsLink
email-66,UrgentLanguage
email-67,ContainsLink
email-67,HasAttachment
email-68,PhishingEmailLabel
email-68,ContainsLink
email-68,HasAttachment
email-68,UrgentLanguage
email-69,PhishingEmailLabel
email-69,ContainsLink
email-69,HasAttachment
email-69,UrgentLanguage
email-70,PhishingEmailLabel
email-70,ContainsLink
email-70,UrgentLanguage
email-71,ContainsLink
email-72,ContainsLink
email-73,HasAttachment
email-74,ContainsLink
email-74,HasAttachment
email-75,PhishingEmailLabel
email-75,ContainsLink
email-75,HasAttachment
email-75,UrgentLanguage
email-76,PhishingEmailLabel
email-76,ContainsLink
email-76,UrgentLanguage
email-77,PhishingEmailLabel
email-77,ContainsLink
email-77,HasAttachment
email-77,UrgentLanguage
email-78,ContainsLink
email-79,PhishingEmailLabel
email-79,ContainsLink
email-79,HasAttachment
email-79,UrgentLanguage
email-80,PhishingEmailLabel
email-80,ContainsLink
email-80,HasAttachment
email-80,UrgentLanguage
email-81,PhishingEmailLabel
email-81,ContainsLink
email-81,HasAttachment
email-81,UrgentLanguage
email-82,PhishingEmailLabel
email-82,ContainsLink
email-82,UrgentLanguage
email-83,ContainsLink
email-84,PhishingEmailLabel
email-84,ContainsLink
email-84,HasAttachment
email-84,UrgentLanguage
email-86,PhishingEmailLabel
email-86,ContainsLink
email-86,UrgentLanguage
email-87,PhishingEmailLabel
email-87,ContainsLink
email-87,UrgentLanguage
email-88,PhishingEmailLabel
email-88,ContainsLink
email-88,UrgentLanguage
email-89,PhishingEmailLabel
email-89,ContainsLink
email-89,UrgentLanguage
email-90,PhishingEmailLabel
email-90,ContainsLink
email-90,HasAttachment
email-90,UrgentLanguage
email-91,ContainsLink
email-92,PhishingEmailLabel
email-92,ContainsLink
email-92,HasAttachment
email-92,UrgentLanguage
email-93,PhishingEmailLabel
email-93,ContainsLink
email-93,HasAttachment
email-93,UrgentLanguage
email-94,HasAttachment
email-96,PhishingEmailLabel
email-96,ContainsLink
email-96,HasAttachment
email-96,UrgentLanguage
email-97,PhishingEmailLabel
email-97,ContainsLink
email-97,UrgentLanguage
email-98,ContainsLink
email-98,HasAttachment
email-99,PhishingEmailLabel
email-99,ContainsLink
email-99,HasAttachment
email-99,UrgentLanguage
email-100,ContainsLink
email-100,HasAttachment
email-101,ContainsLink
email-101,HasAttachment
email-102,PhishingEmailLabel
email-102,ContainsLink
email-102,UrgentLanguage
email-103,PhishingEmailLabel
email-103,ContainsLink
email-103,UrgentLanguage
email-105,PhishingEmailLabel
email-105,ContainsLink
email-105,HasAttachment
email-105,UrgentLanguage
email-106,ContainsLink
email-108,PhishingEmailLabel
email-108,ContainsLink
email-108,HasAttachment
email-108,UrgentLanguage
email-109,PhishingEmailLabel
email-109,ContainsLink
email-109,HasAttachment
email-109,UrgentLanguage
email-110,PhishingEmailLabel
email-110,ContainsLink
email-110,UrgentLanguage
email-111,ContainsLink
email-111,HasAttachment
email-112,PhishingEmailLabel
email-112,ContainsLink
email-112,HasAttachment
email-112,UrgentLanguage
email-113,PhishingEmailLabel
email-113,ContainsLink
email-113,UrgentLanguage
email-114,PhishingEmailLabel
email-114,ContainsLink
email-114,UrgentLanguage
email-115,HasAttachment
email-116,PhishingEmailLabel
email-116,ContainsLink
email-116,HasAttachment
email-116,UrgentLanguage
email-117,PhishingEmailLabel
email-117,ContainsLink
email-117,HasAttachment
email-117,UrgentLanguage
email-118,PhishingEmailLabel
email-118,ContainsLink
email-118,HasAttachment
email-118,UrgentLanguage
email-119,PhishingEmailLabel
email-119,ContainsLink
email-119,HasAttachment
email-119,UrgentLanguage
email-120,PhishingEmailLabel
email-120,ContainsLink
email-120,HasAttachment
email-120,UrgentLanguage
email-121,PhishingEmailLabel
email-121,ContainsLink
email-121,HasAttachment
email-121,UrgentLanguage
email-122,PhishingEmailLabel
email-122,ContainsLink
email-122,UrgentLanguage
email-123,PhishingEmailLabel
email-123,ContainsLink
email-123,HasAttachment
email-123,UrgentLanguage
email-124,PhishingEmailLabel
email-124,ContainsLink
email-124,HasAttachment
email-124,UrgentLanguage
email-125,PhishingEmailLabel
email-125,ContainsLink
email-125,HasAttachment
email-125,UrgentLanguage
email-126,HasAttachment
email-127,PhishingEmailLabel
email-127,ContainsLink
email-127,UrgentLanguage
email-128,ContainsLink
email-129,ContainsLink
email-129,HasAttachment
email-130,ContainsLink
email-131,ContainsLink
email-133,PhishingEmailLabel
email-133,ContainsLink
email-133,HasAttachment
email-133,UrgentLanguage
email-134,PhishingEmailLabel
email-134,ContainsLink
email-134,HasAttachment
email-134,UrgentLanguage
email-135,PhishingEmailLabel
email-135,ContainsLink
email-135,UrgentLanguage
email-136,ContainsLink
email-137,HasAttachment
email-138,PhishingEmailLabel
email-138,ContainsLink
email-138,UrgentLanguage
email-139,PhishingEmailLabel
email-139,ContainsLink
