transactionId,indicator
tx-1-C1305486145-C553264065,FraudTransaction
tx-1-C1305486145-C553264065,ZeroedOriginBalance
tx-1-C840083671-C38997010,FraudTransaction
tx-1-C840083671-C38997010,ZeroedOriginBalance
tx-1-C1420196421-C972765878,FraudTransaction
tx-1-C1420196421-C972765878,ZeroedOriginBalance
tx-1-C2101527076-C1007251739,FraudTransaction
tx-1-C2101527076-C1007251739,ZeroedOriginBalance
tx-1-C137533655-C1848415041,FraudTransaction
tx-1-C137533655-C1848415041,ZeroedOriginBalance
tx-1-C1118430673-C339924917,FraudTransaction
tx-1-C1118430673-C339924917,ZeroedOriginBalance
tx-1-C749981943-C667346055,FraudTransaction
tx-1-C1334405552-C431687661,FraudTransaction
tx-1-C1334405552-C431687661,HighAmountTransfer
tx-1-C1334405552-C431687661,ZeroedOriginBalance
tx-1-C467632528-C716083600,FraudTransaction
tx-1-C467632528-C716083600,HighAmountTransfer
tx-1-C467632528-C716083600,ZeroedOriginBalance
tx-1-C1364127192-C1136419747,FraudTransaction
tx-1-C1364127192-C1136419747,ZeroedOriginBalance
tx-1-C1635772897-C1983025922,FraudTransaction
tx-1-C1635772897-C1983025922,ZeroedOriginBalance
tx-1-C669700766-C1384210339,FraudTransaction
tx-1-C669700766-C1384210339,ZeroedOriginBalance
tx-1-C1275464847-C1364913072,FraudTransaction
tx-1-C1275464847-C1364913072,ZeroedOriginBalance
tx-1-C13692003-C297927961,FraudTransaction
tx-1-C13692003-C297927961,ZeroedOriginBalance
tx-1-C1872047468-C116289363,FraudTransaction
tx-1-C1872047468-C116289363,ZeroedOriginBalance
tx-1-C1499825229-C2100440237,FraudTransaction
tx-1-C1499825229-C2100440237,ZeroedOriginBalance
tx-2-C1093223281-C2063275841,FraudTransaction
tx-2-C1093223281-C2063275841,HighAmountTransfer
tx-2-C1093223281-C2063275841,ZeroedOriginBalance
tx-2-C77163673-C644345897,FraudTransaction
tx-2-C77163673-C644345897,HighAmountTransfer
tx-2-C77163673-C644345897,ZeroedOriginBalance
tx-2-C1440057381-C268086000,FraudTransaction
tx-2-C1440057381-C268086000,ZeroedOriginBalance
tx-2-C430329518-C991505714,FraudTransaction
