urlId,indicator
url-1,PaymentKeywordSignal
url-4,PaymentKeywordSignal
url-5,PaymentKeywordSignal
url-9,PasswordInputSignal
url-11,PaymentKeywordSignal
url-12,SuspiciousUrlLabel
url-12,InsecureHTTP
url-13,PasswordInputSignal
url-13,PaymentKeywordSignal
url-15,PaymentKeywordSignal
url-18,PaymentKeywordSignal
url-19,PasswordInputSignal
url-19,PaymentKeywordSignal
url-20,PaymentKeywordSignal
url-21,SuspiciousUrlLabel
url-21,InsecureHTTP
url-22,SuspiciousUrlLabel
url-22,InsecureHTTP
url-23,PaymentKeywordSignal
url-25,PaymentKeywordSignal
url-27,PaymentKeywordSignal
url-28,SuspiciousUrlLabel
url-29,SuspiciousUrlLabel
url-29,InsecureHTTP
url-30,SuspiciousUrlLabel
url-31,PaymentKeywordSignal
url-32,SuspiciousUrlLabel
url-32,PasswordInputSignal
url-33,SuspiciousUrlLabel
url-33,InsecureHTTP
url-34,PasswordInputSignal
url-35,SuspiciousUrlLabel
url-36,PasswordInputSignal
url-36,PaymentKeywordSignal
url-37,PasswordInputSignal
url-37,PaymentKeywordSignal
url-38,SuspiciousUrlLabel
url-38,InsecureHTTP
url-40,SuspiciousUrlLabel
url-40,InsecureHTTP
url-41,SuspiciousUrlLabel
url-41,InsecureHTTP
url-42,SuspiciousUrlLabel
url-43,PaymentKeywordSignal
url-44,PasswordInputSignal
url-45,SuspiciousUrlLabel
url-46,SuspiciousUrlLabel
url-48,PaymentKeywordSignal
url-50,SuspiciousUrlLabel
url-50,InsecureHTTP
url-51,SuspiciousUrlLabel
url-52,PasswordInputSignal
url-52,PaymentKeywordSignal
url-53,SuspiciousUrlLabel
url-54,PaymentKeywordSignal
url-55,SuspiciousUrlLabel
url-55,InsecureHTTP
url-56,PaymentKeywordSignal
url-57,PasswordInputSignal
url-57,PaymentKeywordSignal
url-58,SuspiciousUrlLabel
url-59,PaymentKeywordSignal
url-60,SuspiciousUrlLabel
url-61,SuspiciousUrlLabel
url-61,InsecureHTTP
url-63,PaymentKeywordSignal
url-69,SuspiciousUrlLabel
url-69,InsecureHTTP
url-70,SuspiciousUrlLabel
url-70,InsecureHTTP
url-71,PaymentKeywordSignal
url-72,SuspiciousUrlLabel
url-72,InsecureHTTP
url-73,SuspiciousUrlLabel
url-73,InsecureHTTP
url-74,SuspiciousUrlLabel
url-75,PaymentKeywordSignal
url-76,PaymentKeywordSignal
url-78,SuspiciousUrlLabel
url-80,PasswordInputSignal
url-80,PaymentKeywordSignal
url-81,SuspiciousUrlLabel
url-83,SuspiciousUrlLabel
url-83,InsecureHTTP
url-84,SuspiciousUrlLabel
url-84,InsecureHTTP
url-85,PaymentKeywordSignal
url-86,PasswordInputSignal
url-86,PaymentKeywordSignal
url-88,SuspiciousUrlLabel
url-89,PaymentKeywordSignal
url-91,PaymentKeywordSignal
url-92,SuspiciousUrlLabel
url-92,InsecureHTTP
url-93,SuspiciousUrlLabel
url-97,PaymentKeywordSignal
url-100,PasswordInputSignal
url-101,SuspiciousUrlLabel
url-102,SuspiciousUrlLabel
url-104,SuspiciousUrlLabel
url-104,InsecureHTTP
url-105,SuspiciousUrlLabel
url-106,PaymentKeywordSignal
url-107,PaymentKeywordSignal
url-109,SuspiciousUrlLabel
url-110,SuspiciousUrlLabel
url-110,InsecureHTTP
url-114,PaymentKeywordSignal
url-115,SuspiciousUrlLabel
url-116,PaymentKeywordSignal
url-119,PasswordInputSignal
url-119,PaymentKeywordSignal
url-121,SuspiciousUrlLabel
url-122,SuspiciousUrlLabel
url-124,SuspiciousUrlLabel
url-124,InsecureHTTP
url-126,SuspiciousUrlLabel
url-126,InsecureHTTP
url-127,SuspiciousUrlLabel
url-130,SuspiciousUrlLabel
url-130,InsecureHTTP
url-131,PaymentKeywordSignal
url-132,PasswordInputSignal
url-133,SuspiciousUrlLabel
url-133,InsecureHTTP
url-138,SuspiciousUrlLabel
url-138,InsecureHTTP
url-139,SuspiciousUrlLabel
url-139,InsecureHTTP
url-144,PaymentKeywordSignal
url-145,SuspiciousUrlLabel
url-147,PasswordInputSignal
url-148,SuspiciousUrlLabel
url-148,InsecureHTTP
url-150,SuspiciousUrlLabel
url-152,SuspiciousUrlLabel
url-152,InsecureHTTP
url-155,SuspiciousUrlLabel
url-155,InsecureHTTP
url-156,SuspiciousUrlLabel
url-156,InsecureHTTP
url-157,SuspiciousUrlLabel
url-157,InsecureHTTP
url-157,PasswordInputSignal
url-158,SuspiciousUrlLabel
url-158,InsecureHTTP
url-159,SuspiciousUrlLabel
url-160,SuspiciousUrlLabel
url-160,InsecureHTTP
url-161,SuspiciousUrlLabel
url-162,SuspiciousUrlLabel
url-163,SuspiciousUrlLabel
url-163,InsecureHTTP
url-164,SuspiciousUrlLabel
url-165,SuspiciousUrlLabel
url-166,SuspiciousUrlLabel
url-166,InsecureHTTP
url-167,SuspiciousUrlLabel
url-167,InsecureHTTP
url-168,SuspiciousUrlLabel
url-168,InsecureHTTP
url-169,SuspiciousUrlLabel
url-169,InsecureHTTP
url-170,SuspiciousUrlLabel
url-170,InsecureHTTP
url-171,SuspiciousUrlLabel
url-171,InsecureHTTP
url-172,SuspiciousUrlLabel
url-172,InsecureHTTP
url-173,SuspiciousUrlLabel
url-174,SuspiciousUrlLabel
url-174,InsecureHTTP
url-175,SuspiciousUrlLabel
url-176,SuspiciousUrlLabel
url-177,SuspiciousUrlLabel
url-177,InsecureHTTP
url-178,SuspiciousUrlLabel
url-179,SuspiciousUrlLabel
url-179,InsecureHTTP
url-180,SuspiciousUrlLabel
url-181,SuspiciousUrlLabel
url-181,InsecureHTTP
url-182,SuspiciousUrlLabel
url-182,InsecureHTTP
url-183,SuspiciousUrlLabel
url-183,InsecureHTTP
url-184,SuspiciousUrlLabel
url-184,InsecureHTTP
url-185,SuspiciousUrlLabel
url-186,SuspiciousUrlLabel
url-186,InsecureHTTP
url-187,SuspiciousUrlLabel
url-188,SuspiciousUrlLabel
url-188,InsecureHTTP
url-189,SuspiciousUrlLabel
url-189,InsecureHTTP
url-190,SuspiciousUrlLabel
url-190,InsecureHTTP
url-191,SuspiciousUrlLabel
url-192,SuspiciousUrlLabel
url-193,SuspiciousUrlLabel
url-193,InsecureHTTP
url-194,SuspiciousUrlLabel
url-194,InsecureHTTP
url-195,SuspiciousUrlLabel
url-195,PaymentKeywordSignal
url-196,SuspiciousUrlLabel
url-196,InsecureHTTP
url-197,SuspiciousUrlLabel
url-197,PasswordInputSignal
url-198,SuspiciousUrlLabel
url-198,InsecureHTTP
url-199,SuspiciousUrlLabel
url-199,InsecureHTTP
url-200,SuspiciousUrlLabel
url-200,InsecureHTTP
url-201,SuspiciousUrlLabel
url-202,SuspiciousUrlLabel
url-203,SuspiciousUrlLabel
url-204,SuspiciousUrlLabel
url-205,SuspiciousUrlLabel
url-206,SuspiciousUrlLabel
url-206,InsecureHTTP
url-207,SuspiciousUrlLabel
url-207,InsecureHTTP
url-208,SuspiciousUrlLabel
url-209,SuspiciousUrlLabel
url-210,SuspiciousUrlLabel
url-211,SuspiciousUrlLabel
url-211,InsecureHTTP
url-212,SuspiciousUrlLabel
url-212,InsecureHTTP
url-213,SuspiciousUrlLabel
url-213,InsecureHTTP
url-214,SuspiciousUrlLabel
url-214,InsecureHTTP
url-215,SuspiciousUrlLabel
url-215,InsecureHTTP
url-216,SuspiciousUrlLabel
url-216,InsecureHTTP
url-217,SuspiciousUrlLabel
url-218,SuspiciousUrlLabel
url-218,InsecureHTTP
url-219,SuspiciousUrlLabel
url-220,SuspiciousUrlLabel
url-220,InsecureHTTP
url-221,SuspiciousUrlLabel
url-221,InsecureHTTP
url-221,PaymentKeywordSignal
url-222,SuspiciousUrlLabel
url-222,InsecureHTTP
url-223,SuspiciousUrlLabel
url-223,InsecureHTTP
url-224,SuspiciousUrlLabel
url-224,InsecureHTTP
url-225,SuspiciousUrlLabel
url-225,InsecureHTTP
url-226,SuspiciousUrlLabel
url-227,SuspiciousUrlLabel
url-227,InsecureHTTP
url-228,SuspiciousUrlLabel
url-228,InsecureHTTP
url-229,SuspiciousUrlLabel
url-229,PasswordInputSignal
url-229,PaymentKeywordSignal
url-230,SuspiciousUrlLabel
url-231,SuspiciousUrlLabel
url-232,SuspiciousUrlLabel
url-233,SuspiciousUrlLabel
url-234,SuspiciousUrlLabel
url-234,InsecureHTTP
url-235,SuspiciousUrlLabel
url-236,SuspiciousUrlLabel
url-237,SuspiciousUrlLabel
url-238,SuspiciousUrlLabel
url-238,InsecureHTTP
url-239,SuspiciousUrlLabel
url-240,SuspiciousUrlLabel
url-240,InsecureHTTP
url-241,SuspiciousUrlLabel
url-241,InsecureHTTP
url-242,SuspiciousUrlLabel
url-242,InsecureHTTP
url-243,SuspiciousUrlLabel
url-244,SuspiciousUrlLabel
url-244,InsecureHTTP
url-245,SuspiciousUrlLabel
url-246,SuspiciousUrlLabel
url-247,SuspiciousUrlLabel
url-248,SuspiciousUrlLabel
url-248,InsecureHTTP
url-249,SuspiciousUrlLabel
url-249,InsecureHTTP
url-249,PaymentKeywordSignal
url-250,SuspiciousUrlLabel
url-251,SuspiciousUrlLabel
url-251,InsecureHTTP
url-252,SuspiciousUrlLabel
url-252,InsecureHTTP
url-253,SuspiciousUrlLabel
