urlId,url,domain,label
url-1,https://www.southbankmosaics.com,www.southbankmosaics.com,1
url-2,https://www.uni-mainz.de,www.uni-mainz.de,1
url-3,https://www.voicefmradio.co.uk,www.voicefmradio.co.uk,1
url-4,https://www.sfnmjournal.com,www.sfnmjournal.com,1
url-5,https://www.rewildingargentina.org,www.rewildingargentina.org,1
url-6,https://www.globalreporting.org,www.globalreporting.org,1
url-7,https://www.saffronart.com,www.saffronart.com,1
url-8,https://www.nerdscandy.com,www.nerdscandy.com,1
url-9,https://www.hyderabadonline.in,www.hyderabadonline.in,1
url-10,https://www.aap.org,www.aap.org,1
url-11,https://www.religionenlibertad.com,www.religionenlibertad.com,1
url-12,http://www.teramill.com,www.teramill.com,0
url-13,https://www.socialpolicy.org,www.socialpolicy.org,1
url-14,https://www.aoh61.com,www.aoh61.com,1
url-15,https://www.bulgariaski.com,www.bulgariaski.com,1
url-16,https://www.brightika.com,www.brightika.com,1
url-17,https://www.motley.ie,www.motley.ie,1
url-18,https://www.funzine.hu,www.funzine.hu,1
url-19,https://www.dixxon.com,www.dixxon.com,1
url-20,https://www.ooty.ind.in,www.ooty.ind.in,1
url-21,http://www.f0519141.xsph.ru,www.f0519141.xsph.ru,0
url-22,http://www.shprakserf.gq,www.shprakserf.gq,0
url-23,https://www.cryptocompare.com,www.cryptocompare.com,1
url-24,https://www.diariodealmeria.es,www.diariodealmeria.es,1
url-25,https://www.town.minamichita.lg.jp,www.town.minamichita.lg.jp,1
url-26,https://www.bwresearch.com,www.bwresearch.com,1
url-27,https://www.musicvideoproduction.guru,www.musicvideoproduction.guru,1
url-28,https://service-mitld.firebaseapp.com/,service-mitld.firebaseapp.com,0
url-29,http://www.kuradox92.lima-city.de,www.kuradox92.lima-city.de,0
url-30,https://liuy-9a930.web.app/,liuy-9a930.web.app,0
url-31,https://www.landed.com,www.landed.com,1
url-32,https://ipfs.io/ipfs/qmrvvyr84esa2assw9vvwupqjgsdn4c3dwkusfdwzdz3kn?clientid=noc@protocol.ai,ipfs.io,0
url-33,http://att-103731-107123.weeblysite.com/,att-103731-107123.weeblysite.com,0
url-34,https://www.bikeseoul.com,www.bikeseoul.com,1
url-35,https://hidok4f8zl.firebaseapp.com/,hidok4f8zl.firebaseapp.com,0
url-36,https://www.ibeani.co.uk,www.ibeani.co.uk,1
url-37,https://www.metroretrovintage.com,www.metroretrovintage.com,1
url-38,http://www.ooguy.com,www.ooguy.com,0
url-39,https://www.vysor.io,www.vysor.io,1
url-40,http://www.fairytalesinc.com,www.fairytalesinc.com,0
url-41,http://www.iuhjn.pplink.club,www.iuhjn.pplink.club,0
url-42,https://mechinchem-5cb8a.web.app/,mechinchem-5cb8a.web.app,0
url-43,https://www.salutlive.com,www.salutlive.com,1
url-44,https://www.recettessimples.fr,www.recettessimples.fr,1
url-45,https://fb-restriction-case-97be5.web.app/,fb-restriction-case-97be5.web.app,0
url-46,https://pontosapontamentolu.com/gclid/=/c/?gclid=ishecabh95cvbhb1eiwagy6m4vn7url3tlj5m_nu__lcyj4n06pqquydbh-56148buwwbmv7k1qejboci-isjw5_kiq,pontosapontamentolu.com,0
url-47,https://www.ainewsletter.com,www.ainewsletter.com,1
url-48,https://www.marrugeku.com.au,www.marrugeku.com.au,1
url-49,https://www.sweatdrop.com,www.sweatdrop.com,1
url-50,http://www.komaru.today,www.komaru.today,0
url-51,https://dev-634536.pantheonsite.io/,dev-634536.pantheonsite.io,0
url-52,https://www.senacases.com,www.senacases.com,1
url-53,https://sabadonoappmagazine.com/,sabadonoappmagazine.com,0
url-54,https://www.vespatales.com,www.vespatales.com,1
url-55,http://www.nextraload.com,www.nextraload.com,0
url-56,https://www.klerk.ru,www.klerk.ru,1
url-57,https://www.karenmillen.com,www.karenmillen.com,1
url-58,https://topaka.cloud/ob52gtplj/18snwp,topaka.cloud,0
url-59,https://www.mlpack.org,www.mlpack.org,1
url-60,https://metafb-tvz6efk.web.app/,metafb-tvz6efk.web.app,0
url-61,http://www.hesselawchambers.com,www.hesselawchambers.com,0
url-62,https://www.schmitzfotografia.com.br,www.schmitzfotografia.com.br,1
url-63,https://www.lanereport.com,www.lanereport.com,1
url-64,https://www.spg.pt,www.spg.pt,1
url-65,https://www.coraevans.com,www.coraevans.com,1
url-66,https://www.torahmates.org,www.torahmates.org,1
url-67,https://www.larepublica.co,www.larepublica.co,1
url-68,https://www.pimpim.lt,www.pimpim.lt,1
url-69,http://www.httpzen.fairhash.org,www.httpzen.fairhash.org,0
url-70,http://www.cjplogger.com,www.cjplogger.com,0
url-71,https://www.radware.com,www.radware.com,1
url-72,http://www.erlegen.de,www.erlegen.de,0
url-73,http://www.f0535398.xsph.ru,www.f0535398.xsph.ru,0
url-74,https://ggsexpole.web.app/,ggsexpole.web.app,0
url-75,https://www.classfmonline.com,www.classfmonline.com,1
url-76,https://www.cornerstoneinsurance.ca,www.cornerstoneinsurance.ca,1
url-77,https://www.varzesh3.com,www.varzesh3.com,1
url-78,https://s3.amazonaws.com/appforest_uf/f1678949673383x832048620362898600/index%20%284%29.html,s3.amazonaws.com,0
url-79,https://www.medicalplasticsnews.com,www.medicalplasticsnews.com,1
url-80,https://www.gitguardian.com,www.gitguardian.com,1
url-81,https://ormvoixregl1.firebaseapp.com/,ormvoixregl1.firebaseapp.com,0
url-82,https://www.crowncenter.com,www.crowncenter.com,1
url-83,http://nmve.xyz/,nmve.xyz,0
url-84,http://www.maytheday.oss-ap-southeast-2.aliyuncs.com,www.maytheday.oss-ap-southeast-2.aliyuncs.com,0
url-85,https://www.dancetheyard.org,www.dancetheyard.org,1
url-86,https://www.olly.com,www.olly.com,1
url-87,https://www.naturalearthdata.com,www.naturalearthdata.com,1
url-88,https://att-104164.weeblysite.com/,att-104164.weeblysite.com,0
url-89,https://www.frdc.com.au,www.frdc.com.au,1
url-90,https://www.lukul.sk,www.lukul.sk,1
url-91,https://www.cityparkapp.pl,www.cityparkapp.pl,1
url-92,http://tkmowpikuk.owl4fsrch.club/vnafvra97w/?q=3717065149&id=100,tkmowpikuk.owl4fsrch.club,0
url-93,https://a04854e8-0cca-4b74-80e6-aacb14a4a5f7.id.repl.co,a04854e8-0cca-4b74-80e6-aacb14a4a5f7.id.repl.co,0
url-94,https://www.scandlines.dk,www.scandlines.dk,1
url-95,https://www.hskonline.com,www.hskonline.com,1
url-96,https://www.nutritioncare.org,www.nutritioncare.org,1
url-97,https://www.tileandstonejournal.com,www.tileandstonejournal.com,1
url-98,https://www.c.line-design.fr,www.c.line-design.fr,1
url-99,https://www.capeblancoheritagesociety.com,www.capeblancoheritagesociety.com,1
url-100,https://www.caterinaperez.com,www.caterinaperez.com,1
url-101,https://auth-document-shared.datingg-voice.workers.dev/,auth-document-shared.datingg-voice.workers.dev,0
url-102,https://mail-service-100960.weeblysite.com/,mail-service-100960.weeblysite.com,0
url-103,https://www.aqr.com,www.aqr.com,1
url-104,http://www.a0646498.xsph.ru,www.a0646498.xsph.ru,0
url-105,https://helpadcase1002405739503874569.web.app/,helpadcase1002405739503874569.web.app,0
url-106,https://www.poundingtherock.com,www.poundingtherock.com,1
url-107,https://www.kellerberrin.wa.gov.au,www.kellerberrin.wa.gov.au,1
url-108,https://www.stadtgarten.de,www.stadtgarten.de,1
url-109,https://noxioussweetconnections.carisss.repl.co/,noxioussweetconnections.carisss.repl.co,0
url-110,http://www.jerode.ga,www.jerode.ga,0
url-111,https://www.ytv.co.jp,www.ytv.co.jp,1
url-112,https://www.today.uci.edu,www.today.uci.edu,1
url-113,https://www.spket.com,www.spket.com,1
url-114,https://www.americanauctioneers.com,www.americanauctioneers.com,1
url-115,https://yrislfnb.qpoe.com/,yrislfnb.qpoe.com,0
url-116,https://www.heramission.space,www.heramission.space,1
url-117,https://www.circlek.org,www.circlek.org,1
url-118,https://www.gunsmokenet.com,www.gunsmokenet.com,1
url-119,https://www.bocajnarima.com,www.bocajnarima.com,1
url-120,https://www.raw-health-coach.com,www.raw-health-coach.com,1
url-121,https://soah-b6mz-v.firebaseapp.com/,soah-b6mz-v.firebaseapp.com,0
url-122,https://www.dlrect-smtb.jp.ap1.ib.commetryx.com/ibg/client/index_sp.php,www.dlrect-smtb.jp.ap1.ib.commetryx.com,0
url-123,https://www.estamos.de,www.estamos.de,1
url-124,http://www.b7a3a060b75c7dcba9c1078d4ead51f0dc.ws,www.b7a3a060b75c7dcba9c1078d4ead51f0dc.ws,0
url-125,https://www.airlinesupports.com,www.airlinesupports.com,1
url-126,http://198.98.58.123/,198.98.58.123,0
url-127,https://ipfs.io/ipfs/bafybeidmmks6ka5vki6djnohox7mminfrzcjkw2mowpft7xtu2sjyxzi64/ufx!xch@,ipfs.io,0
url-128,https://www.ackerstadtpalast.de,www.ackerstadtpalast.de,1
url-129,https://www.mro.nmt.edu,www.mro.nmt.edu,1
url-130,http://www.aresync.com,www.aresync.com,0
url-131,https://www.shopfiire.com,www.shopfiire.com,1
url-132,https://www.doc88.com,www.doc88.com,1
url-133,http://www.jab.oss-ap-southeast-1.aliyuncs.com,www.jab.oss-ap-southeast-1.aliyuncs.com,0
url-134,https://www.hee.nhs.uk,www.hee.nhs.uk,1
url-135,https://www.secondgeargames.com,www.secondgeargames.com,1
url-136,https://www.usbirthcertificates.com,www.usbirthcertificates.com,1
url-137,https://www.dslweb.de,www.dslweb.de,1
url-138,http://www.constructiongst.com,www.constructiongst.com,0
url-139,http://www.westleyr.cf,www.westleyr.cf,0
url-140,https://www.021.rs,www.021.rs,1
url-141,https://www.brainy.games,www.brainy.games,1
url-142,https://www.irgendwie-nerdig.de,www.irgendwie-nerdig.de,1
url-143,https://www.peachstatearchaeologicalsociety.org,www.peachstatearchaeologicalsociety.org,1
url-144,https://www.jazzmasters.nl,www.jazzmasters.nl,1
url-145,https://syk1pe9wox.firebaseapp.com/,syk1pe9wox.firebaseapp.com,0
url-146,https://www.londondesignbiennale.com,www.londondesignbiennale.com,1
url-147,https://www.honneur-au-scoutisme.com,www.honneur-au-scoutisme.com,1
url-148,http://glaze-maple-pantry.glitch.me/link.html,glaze-maple-pantry.glitch.me,0
url-149,https://www.leonardodavinci.net,www.leonardodavinci.net,1
url-150,https://host-authoritsaativeax.mefound.com/,host-authoritsaativeax.mefound.com,0
url-151,https://www.art.yale.edu,www.art.yale.edu,1
url-152,http://www.securitycamera-at-2022.life,www.securitycamera-at-2022.life,0
url-153,https://www.isuog.org,www.isuog.org,1
url-154,https://www.hostmaster.ua,www.hostmaster.ua,1
url-155,http://www.l3a40b16a45b1120615b5d1cc655d7da4a.ws,www.l3a40b16a45b1120615b5d1cc655d7da4a.ws,0
url-156,http://www.pwuxmeudaj.cf,www.pwuxmeudaj.cf,0
url-157,http://forcedie17.temp.swtest.ru/postounatou/postounatou/post/login/login.php,forcedie17.temp.swtest.ru,0
url-158,http://www.sebastians.cf,www.sebastians.cf,0
url-159,https://acesseonline-fevereiro.net/luiza/?userid=&uri=atzkkwfy5s23fyuju9p+tmvfudyjnultmi2mrlcv9tg=,acesseonline-fevereiro.net,0
url-160,http://otwtmbrotq.duckdns.org,otwtmbrotq.duckdns.org,0
url-161,https://att-104569.weeblysite.com/,att-104569.weeblysite.com,0
url-162,https://perte-dimension.web.app/,perte-dimension.web.app,0
url-163,http://www.gmarket.system-ns.org,www.gmarket.system-ns.org,0
url-164,https://btopenworldwebmailing.square.site/,btopenworldwebmailing.square.site,0
url-165,https://visualize-detalhes-online.com/luiza/?userid=13&amp;uri=xudbvbjytdk,visualize-detalhes-online.com,0
url-166,http://www.fgurb.cannca.shop,www.fgurb.cannca.shop,0
url-167,http://www.bsd.fbcode.co,www.bsd.fbcode.co,0
url-168,http://www.stmfl.com,www.stmfl.com,0
url-169,http://www.walemi.com,www.walemi.com,0
url-170,http://www.anilreddydev.github.io,www.anilreddydev.github.io,0
url-171,http://www.madpath.com,www.madpath.com,0
url-172,http://www.hoststudio.org,www.hoststudio.org,0
url-173,https://am2fcu.firebaseapp.com/,am2fcu.firebaseapp.com,0
url-174,http://www.f0534243.xsph.ru,www.f0534243.xsph.ru,0
